base_subject,base_field,target_subject,target_field,mappings
neuron,Neurobiology,engine,Automotive Engineering,"Dendrite : Intake Valve
Axon : Spark Plug
Myelin Sheath : Ignition System
Synapse : Fuel Injection System
Cell Body : Piston"
human behavior,Psychology,social interaction,Sociology,"Thinking : Communication
Feelings : Relationships
Perception : Social Norms
Actions : Social Structures
Reactions : Social Institutions"
soil layers,Geology,cloud formation,Meteorology,"Surface : Troposphere
Subsoil : Stratosphere
Bedrock : Mesosphere
Minerals : Water Vapor
Root systems : Air Pressure"
solar system,Astronomy,storm system,Meteorology,"Sun : Low Pressure Area
Planets : Winds
Asteroid Belt : Rain
Kuiper Belt : Hail
Oort Cloud : Tornadoes"
food chain,Ecology,internet,Computer Science,"Producer : Provider
Consumer : User
Predator : Hacker
Prey : Network
Habitat : Server"
DNA,Genetics,encryption,Cryptography,"Nucleotides : bits
Gene : algorithm
Chromosome : key
Replication : decoding
Mutation : hacking"
chemical reactions,Chemistry,learning,Psychology,"Reactants : Stimuli
Products : Responses
Catalyst : Reinforcement
Activation Energy : Motivation
Exothermic Reaction : Positive Reinforcement"
culture,Sociology,climate,Geography,"Language : Weather
Beliefs : Temperature
Traditions : Precipitation
Values : Humidity
Customs : Wind"
planets,Astronomy,sedimentary rocks,Geology,"Rotation : deposition
Orbit : erosion
Gravity : compaction
Atmosphere : lithification
Surface : outcrop"
planetary orbits,Astronomy,food web,Ecology,"Gravitational force : predator-prey relationships
Planets : species
Sun : apex predator
Revolution : trophic level
Distance : habitat"
animal behavior,Zoology,human behavior,Sociology,"Instinct : Social Norms
Habitat : Culture
Migration : Migration
Communication : Communication
Reproduction : Reproduction"
rock formation,Geology,star formation,Astronomy,"Minerals : Hydrogen and Helium
Magma : Molecular Cloud
Heat and Pressure : Gravity
Igneous Rocks : Protostar
Metamorphic Rocks : Main Sequence Star"
force of gravity,Physics,black hole,Astronomy,"Mass : Mass of the black hole
Attraction : Event Horizon
Distance : Gravitational Pull
Acceleration : Singularity
Field : Accretion Disk"
energy,Physics,chemical reactions,Chemistry,"Kinetic energy : Activation energy
Potential energy : Chemical bond energy
Thermal energy : Heat of reaction
Electrical energy : Electron transfer
Mass-energy : Mass conservation"
Social Interaction,Sociology,Food Chain,Ecology,"Communication : Predation
Influence : Competition
Cooperation : Symbiosis
Social Norms : Habitat
Cultural Values : Sunlight"
protein structure,Biochemistry,rock formation,Geology,"Amino acids : Minerals
Peptide bonds : Pressure
Side chains : Temperature
Secondary structure : Folding
Tertiary structure : Fracturing"
thermodynamics,Physics,food webs,Ecology,"Energy : energy transfer
Heat : nutrients
States of matter : species
Temperature : environment
Equilibrium : balance"
rock formation,Geology,weather system,Meteorology,"Mineral composition : air temperature
Igneous rocks : low pressure systems
Metamorphic rocks : high pressure systems
Sedimentary rocks : wind patterns
Erosion : precipitation"
fossil record,Paleontology,rock layers,Geology,"Fossils : Sediments
Relative age : Stratification
Geologic time : Geologic eras
Evolutionary history : Geological history
Living organisms : Earth materials"
solar system,Astronomy,food chain,Ecology,"Sun : Primary Producer
Planets : Consumers
Moons : Secondary Consumers
Asteroids : Tertiary Consumers
Comets : Decomposers"
clouds,Meteorology,biodiversity,Ecology,"Cirrus clouds : migratory birds
Cumulus clouds : bees
Nimbus clouds : bats
Stratocumulus clouds : dolphins
Stratus clouds : fish"
rock formation,Geology,painting,Art History,"Layers : brush strokes
Weathering : blending
Erosion : fading
Color : hue
Texture : depth"
nuclear physics,Physics,stellar evolution,Astronomy,"Nuclear fission : Supernova
Isotopes : Stars
Radioactivity : Radiation
Elementary particles : Elements
Nuclear fusion : Fusion"
exoplanet,Astrobiology,mountain,Geology,"Orbital period : Elevation
Rotational period : Slope
Atmosphere : Weathering
Moons : Plateaus
Surface temperature : Temperature"
rock cycle,Geology,food web,Ecology,"Igneous rocks : Primary producers 
Sedimentary rocks : Herbivores
Metamorphic rocks : Carnivores
Weathering : Decomposers
Erosion : Consumers"
earthquakes,Geology,thunderstorms,Meteorology,"Seismic waves : Pressure changes
Seismic activity : Wind shifts
Fault lines : Storm fronts
Tectonic plates : Clouds
Earthquake epicenter : Thunderstorm center"
thermodynamics,Physics,stellar evolution,Astrophysics,"Heat : Energy
Temperature : Luminosity
Work : Nuclear Fusion
Entropy : Mass Loss
Equilibrium : Equilibrium Phase"
DNA,Biochemistry,encryption,Cryptography,"Gene : key
Transcription : coding
Translation : encryption
Replication : duplication
Mutation : variation"
neuron,Neuroscience,robot,Robotics,"Cell body : Body
Axon : Wires
Dendrites : Sensors
Synapse : Circuitry
Action potential : Coding"
stellar evolution,Astrophysics,gene mutation,Genetics,"Nuclear fusion : DNA replication
Nebula : Chromosomes
Star formation : Gene Expression
Star death : Gene Mutation
Supernova : Gene Mutation/Deletion"
planetary system,Astronomy,mountain range,Geography,"Sun : Central Peak
Planets : Peaks
Orbit : Valley
Gravity : Slope
Asteroids : Stones"
DNA,Genetics,encryption,Cybersecurity,"Nucleotides : Bits
Base pairs : Bytes
Replication : Decryption
Mutations : Attacks
Transcription : Encryption"
wave-particle duality,Quantum Mechanics,conscious and unconscious,Psychology,"Superposition : duality of the mind
Observer effect : awareness
Interference : intuition
Uncertainty : ambiguity
Quantum jump : sudden insight"
DNA replication,Genetics,data backup,Computer Science,"Base pair : file
Replication : duplication
Mutation : modification
Template strand : original data
Complementary strand : backup copy"
DNA,Molecular Biology,Computer Programming,Computer Science,"Nucleotide : Operator
Base pair : Variable
Gene : Function
Codon : Statement
Promoter : Loop"
mountain range,Geography,weather patterns,Meteorology,"Elevation : air pressure
Slope : wind direction
Geology : temperature
Soil : moisture
Vegetation : cloud cover"
planetary orbit,Astronomy,rock formation,Geology,"Gravitational force : tectonic force
Planetary body : earth's crust
Elliptical orbit : mountain range
Rotation : erosion
Distance from the Sun : mineral composition"
planets,Astronomy,minerals,Geology,"Orbit : Formation
Gravity : Pressure
Atmosphere : Composition
Surface : Location
Size : Value"
star,Astronomy,rock,Geology,"Light : Heat
Nebula : Magma
Gravity : Pressure
Constellation : Formation
Planets : Minerals"
elements,Chemistry,stars,Astronomy,"Atoms : Protons
Molecules : Neutrons
Subatomic particles : Electrons
Compounds : Hydrogen and helium
Periodic table : Stellar evolution"
Solar System,Astronomy,Periodic Table,Chemistry,"Sun : Hydrogen
Planets : Elements
Moons : Isotopes
Asteroids : Compounds
Meteors : Molecules"
Cognitive Development,Psychology,Curriculum Design,Education,"Sensory Development : Learning Objectives
Language Acquisition : Lesson Plans
Problem Solving : Assessments
Social Interaction : Instructional Strategies
Critical Thinking : Curriculum Evaluation"
cell metabolism,Biochemistry,rock formation,Geology,"enzymes : heat and pressure
glucose : sedimentary material
ATP : volcanic activity
proteins : erosion
lipids : tectonic forces"
DNA replication,Genetics,satellite construction,Aerospace Engineering,"nucleotides : components
base pairs : technology
double helix : structure
replication : assembly
enzyme : robotic arm"
DNA,Genetics,Fibonacci sequence,Mathematics,"Nucleotides : Numbers
Base pairs : Addition
Gene : Sequence
Chromosomes : Pattern
Genome : Series"
star,Astronomy,volcano,Geology,"Core : magma chamber
Surface temperature : lava
Luminosity : eruption
Mass : fissure
Gravity : seismic activity"
electromagnetism,Physics,stellar evolution,Astronomy,"Magnetic field : gravity
Electrical charge : mass
Electromagnetic radiation : nuclear fusion
Electromagnetic induction : stellar winds
Magnetism : stellar death"
atomic structure,Chemistry,planetary system,Astronomy,"Atom : Planet
Proton : Core
Electron : Atmosphere
Nucleus : Solar System
Orbit : Orbit"
protein synthesis,Biochemistry,product development,Business,"Amino acids : raw materials
mRNA : design specs
tRNA : production methods
Ribosomes : factories
Proteins : finished products"
exoplanets,Astrobiology,mountain range,Geology,"Star : Earth
Orbit : Plateau
Atmosphere : Climate
Distance from star : Altitude
Composition : Rock Type"
erosion,Geology,succession,Ecology,"Wind : Physical disturbances
Rain : Fire
Plants : Colonizing species
Animals : Successional species
Soil : Soil accumulation"
animal behavior,Zoology,consumer behavior,Economics,"Mating : Shopping
Feeding : Eating
Hibernation : Saving
Migration : Traveling
Aggression : Bargaining"
DNA,Genetics,crop breeding,Agriculture,"Chromosomes : Genes
Mutation : Variation
Gene pool : Breeding Pool
Replication : Selection
Nucleotide : Trait"
DNA,Genetics,proteins,Biochemistry,"Nucleotides : Amino Acids
Chromosomes : Polypeptides
Replication : Synthesis
Transcription : Activation
Translation : Folding"
spacecraft,Aerospace Engineering,quantum mechanics,Physics,"Propulsion system : Heisenberg Uncertainty Principle
Cockpit : Wave-Particle Duality
Avionics : Schrodinger Equation
Fuel tanks : Planck Constant
Spacecraft : Quantum States"
atomic structure,Chemistry,earth's layers,Geology,"Atom : Planet
Nucleus : Core
Electron Orbitals : Mantle
Protons : Crust
Neutrons : Oceans"
plant reproduction,Biology,geometry,Mathematics,"Pollination : Formulas
Flower : Shapes
Stamen : Angles
Ovary : Lines
Fruits : Points"
calculus,Mathematics,motion of an object,Physics,"Derivative : Acceleration
Integral : Displacement
Limit : Velocity
Function : Path
Slope : Force"
brain,Neuroscience,government,Political Science,"Neurons : Citizens
Synapses : Laws
Brainstem : Executive Branch
Cerebrum : Legislative Branch
Cerebellum : Judicial Branch"
mountain formation,Geology,planet formation,Astronomy,"Plate tectonics : Gravity 
Volcanic activity : Radiation
Collision of plates : Accretion
Weathering and erosion : Atmospheric escape
Uplift : Collision of large asteroids"
DNA,Biology,Chromosomes,Genetics,"Nucleotides : Genes
Double helix : Chromatid
Sugar-phosphate backbone : Centromere
Adenine : Cytosine
Guanine : Thymine"
stellar evolution,Astrophysics,chemical reaction,Chemistry,"Nuclear fusion : Combustion
Hydrogen : Oxygen
Giant Star : Explosion
Supernova : Exothermic reaction
White Dwarf : Endothermic reaction"
rock formation,Geology,storm systems,Meteorology,"Magma : Low Pressure Area
Fault Line : Frontal System
Weathering : Precipitation
Stratification : Wind Patterns
Erosion : Temperature Changes"
solar system,Astronomy,government system,Political Science,"Sun : Executive Branch
Planets : Legislative Branch
Moons : Judicial Branch
Asteroids : Local Governments
Comets : International Relations"
cognitive processes,Psychology,voting behavior,Political Science,"Memory : Awareness
Attention : Education
Thinking : Opinion
Perception : Preference
Decision-making : Choice"
Electric field,Physics,Weather system,Meteorology,"Voltage : Atmospheric Pressure
Current : Wind
Insulators : Air Masses
Conductors : Fronts
Electric Field : Global Circulation"
DNA,Genetics,data storage,Information Technology,"Chromosomes : Data Centers
Genes : Files
Nucleotide : Bits
Replication : Backup
Mutation : Error Correction"
star system,Astronomy,mountain range,Earth Science,"Planets : Peaks
Asteroid Belt : Valleys
Solar Wind : Wind
Galaxy : Plateau
Nebula : Rocks"
solar system,Astronomy,United Nations,Political Science,"Sun : Secretary-General
Planets : Member States
Gravitational force : International Law
Orbit : United Nations Charter
Asteroid belt : Security Council"
