source_id,source_subject,source_text,target_subject,target_domain,target_text,target_mappings
34,How does igneous rock form?,"Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies.",How does a chemical reaction form a solid product?,Chemistry,"A chemical reaction takes place between two or more substances.
The reactants are combined together and the reaction is activated by heat.
The products of the reaction are in a liquid state.
The liquid then cools and solidifies.
The solid product of the reaction is the new chemical compound.","volcano : chemical reaction
magma : reactants
lava : liquid
hard rock : solid"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does the telephone system work?,Electrical Engineering,"A person speaks into a telephone, the sound waves are transformed into an electrical current by the microphone.
This electrical current is sent over the telephone line to the recipient's telephone.
At the recipient's telephone, the electrical current is converted back into sound waves by the speaker.
The recipient can then hear the message that was sent from the first person.","Rocks : Person
Magma : Sound waves 
Crust : Microphone
Lava : Electrical current 
Igneous rock : Speaker"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does a car assembly process work?,Mechanical Engineering,"Different parts of a car are welded together.
The welded parts are then cooled in a cooling chamber.
The cooled parts are then brought to the surface and assembled.
The assembled parts are then tested and adjusted.
The tested and adjusted parts are then ready to be used.","Rocks : Parts of a car
Magma : Welded parts
Crust : Cooling chamber
Lava : Assembled parts
Igneous rock : Tested and adjusted parts"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does a chemical reaction form a solid?,Chemical Engineering,"Different types of chemicals are mixed together.
The mixture is heated until it reaches its boiling point.
The boiling mixture is then cooled down.
As the mixture cools, it forms a solid.
The solid is the end product of the chemical reaction.","Rocks : Chemicals
Magma : Boiling Mixture
Crust : Cooling Process
Lava : Solid"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does the water cycle work?,Physics,"Heat from the sun causes air to rise in the atmosphere.
As the air rises, it cools and forms clouds.
The clouds eventually release rain or snow.
This precipitation falls back to the ground and collects in bodies of water.
The water evaporates back into the atmosphere, completing the water cycle.","Rocks : Heat
Magma : Air
Crust : Atmosphere
Lava : Clouds
Igneous Rock : Precipitation"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does tissue form?,Biology,"Different kinds of cells divide and grow to form tissue.
Tissue grows in the body.
Tissue is sent to the surface and becomes skin.
Skin matures and strengthens.
Matured and strengthened cells become tissue.","Rocks : Cells
Magma : Tissue
Lava : Skin
Igneous Rock : Matured and Strengthened Cells"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How do chemical reactions form new compounds?,Chemistry,"Different chemicals react together under high temperatures and pressures.
The reactions produce new compounds.
The compounds cool and form crystals.
Crystals form solid substances.
The solid substances are the new compounds formed by the chemical reactions.","Rocks : Chemicals
Magma : Compounds
Crust : High Temperatures and Pressures
Lava : Crystals
Igneous Rock : Solid Substances"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How is electricity distributed?,Electrical Engineering,"Electricity is generated in a power plant.
The electricity is sent through power lines.
The electricity is then transformed to a higher voltage to reduce losses in the transmission.
The electricity is then sent to the consumer where it undergoes a step-down transformation to a lower voltage.
The electricity is then used by the consumer.","Magma : electricity
Temperature : power lines
Pressure : transformation to higher voltage
Cooling : step-down transformation to lower voltage
Solidifying : used by the consumer
Crystallizing : electricity generated in a power plant"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does a casting process work?,Mechanical Engineering,"Metal is melted in a furnace.
The molten metal is poured into a mould.
The mould is cooled, which causes the metal to solidify.
The solid metal is removed from the mould, and machined to create a part.
The part is then ready for use.","Magma : Metal
Temperature : Furnace
Pressure : Mould
Cooling : Cooling
Solidifying : Solidifying
Crystallizing : Machining
Igneous Rock : Part"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does a chemical reaction create new materials?,Chemical Engineering,"A chemical reaction occurs between two or more substances.
The reaction involves changes in temperature and pressure.
The reactants undergo a series of changes as they react.
These changes cause the reactants to form new compounds.
The new compounds are then cooled and solidified,
forming a new material.","Magma : Reactants
Temperature : Temperature
Pressure : Pressure
Crystallize : Cooling and Solidification
Igneous Rock : New Materials"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does a telescope filter light?,Physics,"Light enters a telescope.
The light travels through the lenses of the telescope, where unwanted reflections are filtered out.
The clear image then exits the telescope and is seen by the observer.
The filtered reflections are discarded and do not continue on in the image.
The filtered image is now ready for viewing.","Magma : Light
Temperature : Lenses
Pressure : Unwanted Reflections
Cooling : Observer
Solidifying : Filtered Reflections
Crystallizing : Filtered Image
Igneous Rock : Viewing"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does an organism life cycle work?,Biology,"A seed is planted in soil.
The seed absorbs water and nutrients from the soil.
The seed undergoes a process of germination.
The seed sprouts and begins to grow.
Roots form and the plant starts to grow.
The plant matures and reproduces.
The plant dies and its remains become organic matter.","Magma : Seed
Temperature : Water
Pressure : Nutrients
Cool : Germination
Solidify : Sprout
Crystallize : Grow
Igneous Rock : Organic Matter"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does a solid compound form?,Chemistry,"Molecules react in solution to form a precipitate.
The precipitate undergoes changes in temperature.
The precipitate undergoes changes in pressure.
The precipitate cools.
The precipitate solidifies.
The precipitate crystallizes.
A solid compound is formed.","Magma : Molecules
Volcano : Solution
Temperature : Temperature
Pressure : Pressure
Igneous rock : Solid Compound"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes an electric arc to occur?,Electrical Engineering,"Electricity is conducted through a wire.
The current in the wire creates a magnetic field.
This magnetic field causes the wire to move against the surrounding material.
The movement of the wire against the surrounding material creates friction.
The movement of the wire generates a lot of heat energy.
This heat energy is released in the form of an electric arc.
The electric arc can cause damage to surrounding materials.","Cracks : Wire
Pressure : Magnetic Field
Rocks : Surrounding Material
Movement : Friction
Energy : Heat Energy
Seismic Waves : Electric Arc"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes an oscillation to occur?,Mechanical Engineering,"Two objects are placed in tension.
The tension in the objects causes the objects to press against each other very hard.
The objects move against each other on both sides of the tension.
The pressure and movement around the tension causes the objects to break in some places.
A lot of energy is released.
The energy causes vibration.
The vibration causes the objects to move in an oscillation.","Earth : Objects
Cracks : Tension
Rocks : Objects
Seismic Waves : Vibration
Earthquake : Oscillation"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes a chemical explosion?,Chemical Engineering,"Chemical reactions take place in a container.
The reactants come into contact with each other and start to react.
The reaction causes heat to be released.
The heat builds up in the container and increases the pressure.
The increased pressure causes the container to expand, leading to a pressure release.
The pressure release causes the container to collapse and a lot of energy to be released.","Cracks : Chemical Reactions
Rocks : Reactants
Pressure : Heat
Energy : Pressure
Seismic Waves : Pressure Release
Earthquake : Container Collapse"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",How does light reflect off of a mirror?,Physics,"Light is reflected off of a mirror.
The light travels through the air and hits a second mirror.
The angle of incidence is greater than the angle of reflection.
The light is redirected in a different direction.
The energy of the light is conserved and released in a different direction.","Earth : Light
Cracks : Mirrors
Rocks : Air
Pressure : Angle of Incidence
Movement : Angle of Reflection
Energy : Conserved and Released"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes genetic change?,Biology,"The gene of an organism experiences mutations.
The mutations cause changes in the genetic code of the organism.
The changes affect the proteins in the organism, altering their structure and function.
The altered proteins can cause changes in the organism's behavior and physical characteristics.
The altered genes can be passed on to the organism's offspring, leading to further changes in the population over time.","Cracks : Mutations
Earth : Gene
Pressure : Changes 
Rocks : Genetic Code
Energy : Proteins
Seismic waves : Behavior and Physical Characteristics"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes an explosive reaction?,Chemistry,"A chemical reaction occurs when two substances interact.
The substances react with each other, forming new substances.
The reaction releases energy in the form of heat.
The energy causes a rise in temperature and pressure.
The increased pressure and temperature can cause the reaction to become explosive.
The resulting explosion releases a shockwave of energy which can be felt as an earthquake.","cracks : substances
rocks : new substances
energy : heat
seismic waves : shockwave of energy"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does electricity generate energy?,Electrical Engineering,"An electric current flows through a conductor.
As the current flows, it creates a magnetic field around the conductor. 
The magnetic field causes the conductor to be attracted to other conductors with opposite charges.
The attraction of the opposite charges causes the conductor to move, creating kinetic energy. 
The kinetic energy is then converted into electrical energy. ","water : electric current
sun : conductor
evaporates : magnetic field
clouds : opposite charges
droplets : kinetic energy
rain : electrical energy"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does precipitation form?,Mechanical Engineering,"Heat is produced by an engine.
The heat causes the air around the engine to rise.
The rising air carries moisture from the ground.
The moisture condenses into clouds as it rises.
As the clouds are filled with more moisture, they become larger.
The air cools and the moisture forms droplets in the clouds.
The droplets fall to the ground as precipitation.","Water : Heat
Sun : Engine
Steam/Vapor : Moisture
Clouds : Clouds
Rain : Precipitation"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does a chemical reaction work?,Chemical Engineering,"A reaction occurs between two compounds.
The compounds are heated together, releasing energy.
The energy causes the molecules to move faster and break apart.
As the molecules separate, they form new compounds.
The new compounds are then cooled, and the reaction is reversed.
The compounds are now in a different form than before.","Oceans, lakes, rivers : two compounds
Sun : heat
Water : molecules
Steam, vapor : new compounds
Clouds : cooled
Rain : reversed"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does a prism separate light?,Physics,"Light enters a prism.
The light travels through the prism and is refracted, separating the light into its different wavelengths.
The different wavelengths are then reflected off the prism's surface and exit the prism in a spectrum of colors.","Oceans, lakes, and rivers : Light
Sun : Prism
Water evaporates : Refracted
Sky : Prism's surface
Clouds : Spectrum of colors
Rain : Exiting prism"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does acid rain form?,Biology,"Organisms take in oxygen through their lungs.
The oxygen travels into the body.
The oxygen is used by the cells.
Carbon dioxide is produced by the cells.
The carbon dioxide is exhaled out of the body.
The carbon dioxide is released into the atmosphere.
The carbon dioxide combines with water to form carbonic acid.
The carbonic acid forms droplets in the clouds.
The droplets fall to earth as rain.","Water : oxygen
Sun : lungs
Steam : carbon dioxide
Clouds : cells
Droplets : atmospheric carbon dioxide
Rain : acid rain"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does precipitation form?,Chemistry,"Molecules of water absorb energy from the sun.
The molecules are then heated and become less dense.
The molecules rise, cool, and condense into clouds.
The molecules form droplets within the clouds and as the droplets become larger they fall back to the surface as precipitation.","
Water : molecules of water
Sun : energy from the sun
Steam or invisible vapor : heated and less dense molecules
Clouds : clouds
Air : cooled molecules
Rain : precipitation"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does electricity get to homes and businesses?,Electrical Engineering,"Electricity is generated by a power plant.
The electricity is transmitted over power lines.
The electricity is then transformed to a higher voltage in a transformer.
The electricity is then transmitted to homes and businesses.
The power is then transformed back to a lower voltage before being used.","Water : Electricity
Evaporation : Generated by a power plant
Clouds : Power Lines
Droplets : Transformed to a higher voltage in a transformer
Gravity : Transmitted to homes and businesses"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does a wind turbine work?,Mechanical Engineering,"A turbine spins due to the kinetic energy of the wind.
The spinning turbine causes a generator to turn, producing electricity.
The generator transforms the kinetic energy of the wind into electrical energy.
The electrical energy is then sent to the grid to be used by consumers.","Water evaporates : Wind
Clouds : Turbine
Droplets : Generator
Gravity : Kinetic energy"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does acid rain form?,Chemical Engineering,"A chemical reaction occurs between two substances, such as the combination of sulfur dioxide and nitrogen dioxide to form sulfuric acid.
The sulfuric acid combines with water vapor in the atmosphere to form tiny droplets of sulfuric acid rain.
These droplets then merge together to form larger droplets, which eventually become heavy enough to fall to the ground.","Water : sulfuric acid
Evaporation : chemical reaction
Clouds : atmosphere
Droplets : droplets of sulfuric acid rain
Gravity : merge together to form larger droplets"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does a telescope filter light?,Physics,"Light enters a telescope.
The light travels through the lenses of the telescope, where unwanted reflections are filtered out.
The clear image then exits the telescope and is seen by the observer.
The filtered reflections are discarded and do not continue on in the image.
The filtered image is now ready for viewing.","Water droplets : Light
Clouds : Telescope
Bigger drops : Lenses
Gravity : Unwanted Reflections
Observer : Filtered Reflections
Viewing : Filtered Image"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does transpiration work?,Biology,"Plants absorb water from the soil via their root systems.
The water is transported up the plant to its leaves.
The leaves transpire the water, releasing it into the atmosphere.
Air currents carry the water vapor up into the atmosphere, where it condenses to form clouds.
The clouds become heavy with water and gravity causes them to rain down.","evaporation : transpiration
water droplets : water vapor
clouds : atmosphere
bigger drops : clouds
gravity : gravity"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does cloud formation work?,Chemistry,"A chemical reaction takes place in the atmosphere.
The reaction produces molecules that can form clouds.
The molecules combine to form water droplets in the clouds.
The heat from the sun causes these droplets to evaporate and condense, creating larger droplets.
When the droplets become too heavy, gravity causes them to fall as precipitation.","water evaporates : chemical reaction
water droplets : molecules
gravity : gravity"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",How does a lightning storm works?,Electrical Engineering,"A lightning storm creates an electrical current in the atmosphere.
The electrical current causes lightning to strike the ground.
The lightning strikes cause sparks of electricity to fly, creating a disturbance in the atmosphere.
The storm can last for a long time, with multiple lightning strikes occurring throughout the storm.
The storm eventually dissipates, leaving the atmosphere clear and free of electricity.","Volcano : lightning storm
Pressure : electrical current
Lava : lightning
Ash clouds and rocks : sparks of electricity
Mudslides and ash clouds : atmosphere"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",What happens during a hydraulic system reaction?,Mechanical Engineering,"Pressure builds up in a hydraulic system.
Fluid is then released from the system.
The fluid causes a reaction, such as movement of a piston or rotation of a wheel.
The reaction causes a disturbance in the environment.
The reaction lasts for a long time for some hydraulic systems.
The pressure is released from the hydraulic system.
The fluid and other debris stop flowing from the system.
Heat and pressure may cause problems after the reaction.","Volcano : hydraulic system
Lava : fluid
Ash clouds and rocks : reaction (movement of piston or rotation of wheel)
Mudslides and ash clouds : heat and pressure"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",What happens during a chemical reaction?,Chemical Engineering,"A chemical reaction takes place in a reaction vessel.
Heat is generated and the pressure increases.
Products are created and released from the reaction vessel.
The products cause disturbances in the environment.
The reaction can last for a long time.
The reaction stops when the heat and pressure have been released.
Residual products can cause further problems after the reaction has stopped.","volcano : reaction vessel
pressure : heat and pressure
lava : products
debris : residual products"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",What happens during a lightning strike?,Physics,"Lightning is caused by the buildup of electrical energy in the atmosphere.
The electrical energy is discharged in the form of a lightning strike.
The lightning strike causes a shockwave that radiates outward in all directions.
The shockwave can cause damage to objects in its path and can also create thunder.","Pressure : Electrical Energy
Volcano : Atmosphere
Lava : Lightning Strike
Ash Clouds : Shockwave
Rocks : Objects in its Path"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",What happens during cellular respiration?,Biology,"A cell takes in nutrients from the environment.
These nutrients are broken down and used for energy.
The energy is used to carry out the cell's functions.
Waste is produced from these processes and expelled from the cell.
The waste can cause disturbances in the environment around the cell.
The cell continues these processes until it has used up all the available nutrients.","
Volcano : cell
Pressure : nutrients
Lava : energy
Ash clouds and rocks : waste"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",How does a chemical reaction work?,Chemistry,"A chemical reaction produces heat.
The heat causes the reactants to break down and form new products.
The products have different properties than the reactants.
The reaction releases energy, in the form of light, sound, or heat.
The reaction may last for a short time or continue for a long time depending on the reactants and the environment.
The reaction stops when the reactants are all used up and the energy released is dissipated.","Pressure : Heat
Lava : Reactants
Ash clouds and rocks : Products
Environment : Environment
Eruption : Reaction"
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",How do electrical components form?,Electrical Engineering,"Electrical current is passed through two metal plates.
The current causes the metal to heat up and melt.
The metal forms a bond between the two plates.
As the metal cools, it solidifies and forms a conductor.
The conductor contains minerals that are used as electrical components.","Magma : Electrical current
Cool : Heat up and melt
Particles : Metal
Crystals : Bond between two plates
Minerals : Minerals used as electrical components"
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",How does metal forming work?,Mechanical Engineering,"Metal is heated in a furnace.
The heat causes the metal to expand.
The metal is then cooled rapidly.
This cooling causes the metal to contract, creating tension.
This tension causes the metal to form into various shapes.","Magma : Metal
Cooling : Heating
Particles : Metal
Crystals : Shapes
Minerals : Tension"
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",How do chemical reactions form minerals?,Chemical Engineering,"A chemical reaction takes place between two or more substances.
The reaction produces new substances, which may contain minerals that were not present in the original substances.
The reaction is usually facilitated by a catalyst, which speeds up the process and helps the reactants form the desired products.","Magma : two or more substances
Cooling : chemical reaction
Particles : reactants
Crystals : products
Minerals : minerals"
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",How does a telescope filter light?,Physics,"Light enters a telescope.
The light travels through the lenses of the telescope, where unwanted reflections are filtered out.
The clear image then exits the telescope and is seen by the observer.
The filtered reflections are discarded and do not continue on in the image.
The filtered image is now ready for viewing.","Magma : Light
Cooling : Telescope
Particles : Lenses
Crystals : Unwanted Reflections
Minerals : Filtered Reflections"
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",How do genetic traits get passed on?,Biology,"Organisms reproduce.
The offspring develop from the DNA of their parents.
The DNA is transferred from one generation to the next.
Mutations can occur, changing the genetic code of the offspring.
These mutations can result in new traits that can be passed on to future generations.","Magma : organisms
Cooling : reproduction
Particles : DNA
Crystals : offspring
Minerals : mutations"
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",How does crystallization occur?,Chemistry,"Molecules in a solution move closer together when the temperature is decreased.
The molecules bind together to form solids.
The solids are composed of different elements and compounds, which form minerals.","Magma : solution
Cooling : decreasing temperature
Particles : molecules
Crystals : solids
Minerals : elements and compounds"
51,How do minerals form?,"Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",How do semiconductors form?,Electrical Engineering,"An electric current is passed through a conductor.
The electric current causes atoms in the conductor to vibrate.
The vibration causes the atoms to rearrange and bond together.
The bonded atoms form a crystalline structure.
The crystalline structure is a semiconductor material.","Magma : electric current
Cooling : vibration
Atoms : bonded atoms
Solidified magma : crystalline structure
Minerals : semiconductor material"
51,How do minerals form?,"Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",How does an assembly line work?,Mechanical Engineering,"Raw materials are sent through a conveyor belt.
The conveyor belt carries the raw materials to an assembly station.
At the assembly station, the components are assembled according to a plan.
The assembled components are then tested for quality assurance.
Once the components pass the quality assurance tests, they are ready for use.","magma : raw materials
cooling : conveyor belt
atoms : components
condensed magma : assembled components
minerals : components that pass quality assurance tests"
51,How do minerals form?,"Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",How does a chemical reaction work?,Chemical Engineering,"A chemical reaction takes place in a reaction vessel.
The reactants in the reaction vessel are heated until they reach their reaction temperature.
The reactants interact with each other, forming new compounds.
These new compounds then solidify, forming the desired product.","magma : reactants
cooling : reaction temperature
atoms : reactants
condense : interact
minerals : desired product"
51,How do minerals form?,"Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",How does a camera lens focus light?,Physics,"Light enters a lens.
The light is refracted through the lens and focused onto an object.
The focused light reflects off the object and passes through the lens again.
The light is then focused onto a surface such as a film or digital sensor.
The focused image is captured on the surface and can be viewed.","Magma : Light
Earth's crust : Lens
Atoms : Refracted light
Condense : Focused onto an object
Solidified : Reflected off the object
Minerals : Focused image"
51,How do minerals form?,"Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",How does a plant take up nutrients and water?,Biology,"A seed germinates and the root system begins to grow.
Nutrients and water are taken up by the plant via the root system.
The nutrients and water are transported to the leaves.
The leaves use the nutrients and water to produce food via photosynthesis.
The food is then transported throughout the plant as sugars.","Magma : seed
Cooling : germination
Atoms : nutrients and water
Condense : root system
Solidified : leaves
Minerals : food"
