source_id,source_subject,source_text,target_subject,target_text,target_mappings
141,How do the lungs work?,"You inhale.
Your diaphragm moves down.
Your lungs have more room.
Your lungs fill with air.
You exhale.
Your diaphragm moves back up.
Carbon dioxide is exhaled.
You start the process over again.",How does the esophagus work?,"You swallow.
Your tongue moves up.
Your esophagus has more room.
Your esophagus fills with food.
You regurgitate.
Your tongue moves back down.
The food is pushed down to your stomach.
You start the process over again.","Inhale : swallow
Diaphragm : tongue
Lungs : esophagus
Air : food
Exhale : regurgitate
Carbon dioxide : pushed down"
141,How do the lungs work?,"You inhale.
Your diaphragm moves down.
Your lungs have more room.
Your lungs fill with air.
You exhale.
Your diaphragm moves back up.
Carbon dioxide is exhaled.
You start the process over again.",How does digestion work?,"You swallow.
Your tongue pushes the food to the back of your mouth.
Your esophagus opens.
The food is pushed down the esophagus.
The esophagus pushes the food to the stomach.
The stomach digests the food.
The nutrients are absorbed in the small intestine.
The waste is passed out through the large intestine.","Inhale : swallow
Diaphragm : tongue
Lungs : esophagus
Exhale : stomach
Carbon dioxide : nutrients"
141,How do the lungs work?,"You inhale.
Your diaphragm moves down.
Your lungs have more room.
Your lungs fill with air.
You exhale.
Your diaphragm moves back up.
Carbon dioxide is exhaled.
You start the process over again.",How does the digestive system work?,"You consume food.
Your stomach muscles move.
Your stomach expands.
Your stomach fills with food.
You digest the food.
Your stomach muscles move again.
Digested food is released into the intestines.
You start the process over again.","Inhale : consume food
Diaphragm : stomach muscles
Lungs : stomach
Air : food
Exhale : digest
Carbon dioxide : digested food"
157,Describe the process of recycling an aluminum can,"You place aluminum cans and other products into recycling bins.
Your town or a private company collect and transport the aluminum to a recycling facility.
The aluminum is sorted and cleaned at the central recycling facility.
The aluminum is melted down to remove coatings and inks.
The melted aluminum is formed into large formations called ingots.
The ingots are transported to another facility and rolled out to make them easier to manipulate.
The ingots can now be turned into new aluminum products.",Describe the process of recycling a plastic bottle,"You place plastic bottles and other products into recycling bins.
Your town or a private company collect and transport the plastic to a recycling facility.
The plastic is sorted and cleaned at the central recycling facility.
The plastic is melted down to remove contaminants and dirt.
The melted plastic is formed into large formations called pellets.
The pellets are transported to another facility and extruded to make them easier to manipulate.
The pellets can now be turned into new plastic products.","aluminum cans : plastic bottles
ingots : pellets"
157,Describe the process of recycling an aluminum can,"You place aluminum cans and other products into recycling bins.
Your town or a private company collect and transport the aluminum to a recycling facility.
The aluminum is sorted and cleaned at the central recycling facility.
The aluminum is melted down to remove coatings and inks.
The melted aluminum is formed into large formations called ingots.
The ingots are transported to another facility and rolled out to make them easier to manipulate.
The ingots can now be turned into new aluminum products.",Describe the process of recycling a plastic bottle ,"You place plastic bottles and other products into recycling bins.
Your town or a private company collect and transport the plastic to a recycling facility.
The plastic is sorted and cleaned at the central recycling facility.
The plastic is melted down to remove any coatings or inks.
The melted plastic is formed into large formations called pellets.
The pellets are transported to another facility and stretched out to make them easier to manipulate.
The pellets can now be turned into new plastic products.","Aluminum cans : plastic bottles
Aluminum : plastic
Ingots : pellets"
157,Describe the process of recycling an aluminum can,"You place aluminum cans and other products into recycling bins.
Your town or a private company collect and transport the aluminum to a recycling facility.
The aluminum is sorted and cleaned at the central recycling facility.
The aluminum is melted down to remove coatings and inks.
The melted aluminum is formed into large formations called ingots.
The ingots are transported to another facility and rolled out to make them easier to manipulate.
The ingots can now be turned into new aluminum products.",Describe the process of recycling a glass bottle,"You place glass bottles and other products into recycling bins.
Your town or a private company collect and transport the glass to a recycling facility.
The glass is sorted and cleaned at the central recycling facility.
The glass fragments are melted down to create molten glass.
The molten glass is poured into molds and cooled.
The cooled glass is transported to another facility and cut into shapes.
The glass can now be turned into new glass products.","Aluminum cans : glass bottles
Ingots : molds"
158,Describe the process of recycling an aluminum can,"Put the aluminum can into a recycle bin.
The cans are transported to a facility.
The cans are shredded by a machine.
The cans are heated to 1400 degrees to melt them.
The molten metal is poured into molds.
The molds are flattened and rolled into sheets to reuse.",Describe the process of recycling a plastic bottle,"Put the plastic bottle into a recycle bin.
The bottles are transported to a facility.
The bottles are shredded and washed to remove any contaminants.
The bottles are melted in a furnace at high temperature.
The molten plastic is poured into molds.
The molds are cooled and the plastic is formed into pellets.
These pellets are used to make new plastic products.","Aluminum can : plastic bottle
Shredded by a machine : shredded and washed
1400 degrees : high temperature
Molds : molds
Sheets : pellets"
158,Describe the process of recycling an aluminum can,"Put the aluminum can into a recycle bin.
The cans are transported to a facility.
The cans are shredded by a machine.
The cans are heated to 1400 degrees to melt them.
The molten metal is poured into molds.
The molds are flattened and rolled into sheets to reuse.",Describe the process of recycling a plastic bottle,"Put the plastic bottle into a recycle bin.
The bottles are transported to a facility.
The bottles are shredded by a machine.
The bottles are heated to melt them.
The molten plastic is poured into molds.
The molds are cooled to form pellets.
The pellets are melted and injected into molds to form new bottles.","aluminum can : plastic bottle
shredded : shredded
1400 degrees : heated
molds : molds
sheets : pellets"
158,Describe the process of recycling an aluminum can,"Put the aluminum can into a recycle bin.
The cans are transported to a facility.
The cans are shredded by a machine.
The cans are heated to 1400 degrees to melt them.
The molten metal is poured into molds.
The molds are flattened and rolled into sheets to reuse.",Describe the process of recycling a plastic bottle,"Place the plastic bottle in a recycle bin.
The bottles are transported to a recycling facility.
The bottles are broken down into small pieces by a machine.
The pieces are heated to 400 degrees to melt them.
The molten plastic is poured into molds to recreate the original shape.
The molds are cooled until the plastic is solid again.
The plastic is then ready to be reused.","aluminum can : plastic bottle
shredded : broken down
heated to 1400 degrees : heated to 400 degrees
molds : molds
sheets : recreated shape"
159,Describe the process of recycling an aluminum can,"Aluminium cans are put into a recycling bin.
Aluminium cans are then collected and taken to a treatment plant.
At the treatment plant the aluminium is sorted and cleaned.
Readied for reprocessing.
The aluminum cans go through a re-melt process.
Turned into molten aluminium.
The molten aluminum is made into large blocks called ingots.
The ingots are sent to mills and are rolled out into thin sheets.
The rolls are ready to be made into new aluminum products.",Describe the process of recycling a glass bottle,"Glass bottles are put into a recycling bin.
The bottles are then collected and taken to a treatment plant.
At the treatment plant, the bottles are sorted and cleaned.
Readied for reprocessing.
The bottles are placed into a furnace, melted down, and reformed into molten glass.
The molten glass is then cut into smaller pieces and cooled.
The cooled glass is placed into molds to create new products.
The newly formed products are ready to be used.","Aluminium cans : glass bottles
Treatment plant : treatment plant
Re-melt process : furnace
Ingots : smaller pieces
Rolls : molds"
159,Describe the process of recycling an aluminum can,"Aluminium cans are put into a recycling bin.
Aluminium cans are then collected and taken to a treatment plant.
At the treatment plant the aluminium is sorted and cleaned.
Readied for reprocessing.
The aluminum cans go through a re-melt process.
Turned into molten aluminium.
The molten aluminum is made into large blocks called ingots.
The ingots are sent to mills and are rolled out into thin sheets.
The rolls are ready to be made into new aluminum products.",Describe the process of recycling a plastic bottle,"Plastic bottles are put into a recycling bin.
The plastic bottles are collected and taken to a treatment plant.
At the treatment plant the bottles are sorted and cleaned.
Readied for reprocessing.
The plastic bottles are melted down and reshaped into pellets.
The pellets are sent to factories to be made into new products.
The new plastic products are ready for consumer use.","aluminum cans : plastic bottles
treatment plant : treatment plant
remelt process : melted down
ingots : pellets
mills : factories
thin sheets : new plastic products"
159,Describe the process of recycling an aluminum can,"Aluminium cans are put into a recycling bin.
Aluminium cans are then collected and taken to a treatment plant.
At the treatment plant the aluminium is sorted and cleaned.
Readied for reprocessing.
The aluminum cans go through a re-melt process.
Turned into molten aluminium.
The molten aluminum is made into large blocks called ingots.
The ingots are sent to mills and are rolled out into thin sheets.
The rolls are ready to be made into new aluminum products.",Describe the process of recycling a plastic bottle,"Plastic bottles are placed in a recycling bin.
The bottles are collected and taken to a treatment plant.
At the treatment plant, the bottles are sorted and cleaned.
The plastic is chopped into small pieces and heated.
The melted plastic is filtered and molded into pellets.
The pellets are melted down into liquid form.
This liquid plastic is then molded into new plastic products.","Aluminium cans : plastic bottles
Treatment plant : treatment plant
Remelt process : chopped into small pieces and heated
Ingots : pellets
Rolls : liquid form"
165,How does the stomach work?,"Food leaves the esophagus and enters the stomach.
The stomach churns the food.
With the aid of stomach acids.
The food becomes a thick liquid.
Is then passed to the small intestine.",How does a furnace work?,"Heat enters the furnace.
The furnace heats up the air.
The hot air is then pushed through the ducts.
The ducts carry the hot air to different rooms.
The temperature of the room increases.","Food : heat
Esophagus : furnace
Stomach acids : air
Small intestine : ducts"
165,How does the stomach work?,"Food leaves the esophagus and enters the stomach.
The stomach churns the food.
With the aid of stomach acids.
The food becomes a thick liquid.
Is then passed to the small intestine.",How does the respiratory system work?,"Air enters the lungs through the trachea.
The air is then passed to the bronchial tubes.
The air is passed through smaller and smaller tubes.
The air is then transferred to the alveoli.
The alveoli take in the oxygen and release the carbon dioxide.","Esophagus : trachea
Stomach : bronchial tubes
Stomach acids : smaller and smaller tubes
Small intestine : alveoli"
165,How does the stomach work?,"Food leaves the esophagus and enters the stomach.
The stomach churns the food.
With the aid of stomach acids.
The food becomes a thick liquid.
Is then passed to the small intestine.",How does the nose work?,"Air enters the nose and passes through the nasal passage.
The air is filtered by the cilia and mucus.
The air is then heated and humidified by the mucus membrane.
The air then travels to the lungs.
The air is then passed to the trachea and bronchi.","Food : air
Esophagus : nose
Stomach acids : cilia and mucus
Small intestine : lungs
Stomach : nasal passage
Mucus membrane : trachea and bronchi"
186,How does mold grow on bread?,"Bread is exposed to the elements.
Bread absorbs water from the air.
Bread absorbs warmth from the air.
Dust particles with mold spores fall on bread.
Mold spores start to consume the bread for energy.
Mold colonies grow until they are visible.",How does bacteria and fungi grow on fruit?,"Fruit is exposed to the elements.
Fruit absorbs water from the air.
Fruit absorbs warmth from the air.
Bacteria and fungi spores fall on fruit.
The spores start to consume the fruit for energy.
Bacterial and fungal colonies grow until they are visible.","Bread : Fruit
Mold spores : Bacteria and fungi spores"
186,How does mold grow on bread?,"Bread is exposed to the elements.
Bread absorbs water from the air.
Bread absorbs warmth from the air.
Dust particles with mold spores fall on bread.
Mold spores start to consume the bread for energy.
Mold colonies grow until they are visible.",How do bacteria grow in a bathroom? ,"A bathroom is exposed to humidity.
The bathroom absorbs moisture from the air.
The bathroom absorbs heat from the air.
Dust particles with bacteria spores fall on the surfaces.
Bacteria spores start to consume the surfaces for energy.
Bacterial colonies grow until they are visible.","Bread : bathroom
Mold spores : bacteria spores"
186,How does mold grow on bread?,"Bread is exposed to the elements.
Bread absorbs water from the air.
Bread absorbs warmth from the air.
Dust particles with mold spores fall on bread.
Mold spores start to consume the bread for energy.
Mold colonies grow until they are visible.",How does bacteria grow on fruits?,"Fruits are exposed to the elements.
Fruits absorb water from the air.
Fruits absorb warmth from the air.
Dust particles with bacteria spores fall on fruits.
Bacteria spores start to consume the fruits for energy.
Bacteria colonies grow until they are visible.","Bread : Fruits
Mold spores : Bacteria spores"
206,How do muscles work?,"Muscles work by expanding and contracting.
A muscle fiber gets a signal from its nerve.
Proteins and chemicals release energy to either contract the muscle or relax it.
When the muscles contracts the bones connected to he muscle are pulled closer together.
When the muscle relaxes the bones move farther apart.",How do levers work?,"Levers work by moving around a pivot point.
The lever is moved by an external force.
The force is used to move the lever around the pivot point in either direction.
When the lever moves in one direction, the two ends of the lever move closer together.
When the lever moves in the other direction, the two ends of the lever move farther apart.","Muscle : lever
Fiber : lever
Nerve : external force
Contracting/Relaxing : move around in different directions"
206,How do muscles work?,"Muscles work by expanding and contracting.
A muscle fiber gets a signal from its nerve.
Proteins and chemicals release energy to either contract the muscle or relax it.
When the muscles contracts the bones connected to he muscle are pulled closer together.
When the muscle relaxes the bones move farther apart.",How does an engine work?,"Engines work by using fuel to create energy.
The spark plug gets a signal from the computer.
The fuel ignites and expands in the combustion chamber, creating pressure.
The pressure pushes the piston, causing the crankshaft to turn.
The turning crankshaft is what creates the power needed to move the car.","muscle fibers : spark plug
contracts : ignites
relaxes : expands
bones : piston"
206,How do muscles work?,"Muscles work by expanding and contracting.
A muscle fiber gets a signal from its nerve.
Proteins and chemicals release energy to either contract the muscle or relax it.
When the muscles contracts the bones connected to he muscle are pulled closer together.
When the muscle relaxes the bones move farther apart.",How does a hydraulic system work?,"A hydraulic system uses fluid pressure to move a piston.
A hydraulic pump pushes fluid into the system and the pressure is regulated by a valve.
The pressure forces the piston to move, either pushing or pulling something connected to it.
The piston is then retracted and the fluid is returned to the reservoir.
The valve regulates the pressure and keeps the system from overworking.","Muscle fibers : hydraulic pump
Nerves : valve
Contract/Relax : Push/Pull
Bones : Piston"
207,How do muscles work?,"Electrical signals in the brain travel through nerves to muscles.
Two types of proteins exist in filaments in the muscles.
The filaments move when the brain instructs them to.
The motion of the filaments cause the muscle to shorten and contract.
Opposing pairs of muscles exist in order to provide the necessary range of motion.",How do eyes work?,"Light enters the eyes and is focused onto the retina.
The retina is composed of photoreceptor cells which convert light into electrical signals.
The electrical signals travel through the optic nerve to the brain.
The brain interprets the signals as an image.
The eye also contains muscles which allow it to move and focus on different objects.
Opposing pairs of muscles provide the necessary range of motion.","electrical signals : light
nerves : optic nerve
filaments : photoreceptor cells
muscles : muscles"
207,How do muscles work?,"Electrical signals in the brain travel through nerves to muscles.
Two types of proteins exist in filaments in the muscles.
The filaments move when the brain instructs them to.
The motion of the filaments cause the muscle to shorten and contract.
Opposing pairs of muscles exist in order to provide the necessary range of motion.",How do plants photosynthesize?,"The sun's radiation enters the plant through the leaves.
Chloroplasts in the cells of the leaves absorb the radiation.
The energy is converted into chemical energy in the form of ATP.
This energy is then used to convert water and carbon dioxide into sugar, which provides the energy needed for the plant to grow.
Opposing pairs of leaves exist in order to provide the necessary range of light.","electrical signals : sun's radiation
nerves : leaves
proteins : chloroplasts
filaments : cells
muscles : plant"
207,How do muscles work?,"Electrical signals in the brain travel through nerves to muscles.
Two types of proteins exist in filaments in the muscles.
The filaments move when the brain instructs them to.
The motion of the filaments cause the muscle to shorten and contract.
Opposing pairs of muscles exist in order to provide the necessary range of motion.",How do rivers flow?,"Gravity pulls water down in a river.
The current of the river is determined by the shape of the riverbed and the amount of water flowing down it.
The shape of the riverbed affects the speed of the water and can cause eddies and whirlpools.
The water is then forced to change directions and push against obstacles such as rocks and logs.
The force of the water can erode the riverbank, forming small channels and creeks.","Electrical signals : gravity
Nerves : river
Muscles : riverbed
Filaments : water
Opposing pairs of muscles : rocks and logs"
211,How does rain occur?,"Water droplets in clouds collide.
Become bigger drops.
Ice particles also grow in clouds.
Drops and ice particles get heavier.
Drops fall to the ground.
Ice particles fall from the clouds.
Ice particles fall through warmer air and melt.
Ice reaches the ground as rain drops.",How does sandstorm occur?,"Particles of dust and sand are picked up by the wind.
As they travel they collide and stick together forming larger particles.
The larger particles become heavy enough to fall to the ground.
The bigger particles of dust and sand break apart as they fall,
scattering their contents across the ground.","
Water droplets : Particles of dust and sand
Clouds : Wind
Ice particles : Larger particles
Rain drops : Bigger particles"
211,How does rain occur?,"Water droplets in clouds collide.
Become bigger drops.
Ice particles also grow in clouds.
Drops and ice particles get heavier.
Drops fall to the ground.
Ice particles fall from the clouds.
Ice particles fall through warmer air and melt.
Ice reaches the ground as rain drops.",How does snow occur?,"Dust particles in the atmosphere collide.
These particles become bigger particles.
These bigger particles are too heavy to stay in the atmosphere.
The particles are pulled down by gravity.
The particles reach the ground as snowflakes.
Snowflakes melt when they reach warmer air.
The snow melts and reaches the ground as water.","Water droplets : dust particles
Ice particles : bigger particles
Rain drops : snowflakes"
211,How does rain occur?,"Water droplets in clouds collide.
Become bigger drops.
Ice particles also grow in clouds.
Drops and ice particles get heavier.
Drops fall to the ground.
Ice particles fall from the clouds.
Ice particles fall through warmer air and melt.
Ice reaches the ground as rain drops.",How does sedimentary rock form?,"Dust particles in the atmosphere collide.
These particles become bigger and heavier.
The particles become too heavy to stay in the atmosphere and fall to the ground.
The particles settle on the ground and form a layer of dust.
With time, the dust particles are compressed to form a layer of rock.","Water droplets : dust particles
Ice particles : particles
Collide : collide
Grows bigger : become bigger and heavier
Reaches the ground : falls to the ground
Melt : compressed"
212,How does rain occur?,"Water evaporates because of the sun.
Water vapor rises into the air as it evaporates.
Water vapor forms clouds as it mixes with dust and impurities.
Clouds become heavier and larger over time.
Clouds eventually become too heavy to stay in the sky.
Some water vapor exits clouds as rain.",How does snow occur?,"Heat from the sun causes ice to evaporate on Earth's surface.
Water vapor rises into the atmosphere and mixes with dust and impurities.
This mixture of vapor and dust forms clouds.
As the clouds become heavier and larger, they may collide with other clouds or reach higher temperatures.
The clouds eventually become too heavy or reach a high enough temperature, causing the water droplets to condense and form precipitation.","Water : Ice
Evaporate : evaporate
Clouds : clouds
Rain : precipitation"
212,How does rain occur?,"Water evaporates because of the sun.
Water vapor rises into the air as it evaporates.
Water vapor forms clouds as it mixes with dust and impurities.
Clouds become heavier and larger over time.
Clouds eventually become too heavy to stay in the sky.
Some water vapor exits clouds as rain.",How does snow occur?,"Minerals from the rocks in the Earth's surface are heated by the sun.
The heat causes the minerals to evaporate and rise into the air.
As the minerals mix with dust and other particles, they form dust clouds.
The dust clouds become heavier over time as more minerals are added.
When the dust clouds become too heavy, they descend back to the ground in the form of snow.","Water : minerals
Water vapor : evaporate
Clouds : dust clouds
Rain : snow"
212,How does rain occur?,"Water evaporates because of the sun.
Water vapor rises into the air as it evaporates.
Water vapor forms clouds as it mixes with dust and impurities.
Clouds become heavier and larger over time.
Clouds eventually become too heavy to stay in the sky.
Some water vapor exits clouds as rain.",How does snow form?,"Snowflakes form when tiny ice crystals in clouds mix with water vapor.
The ice crystals grow as more water vapor is added to them.
The snowflakes then become too heavy to stay in the air and they fall to the ground.
As the snowflakes fall, they may melt and become rain or remain as snow on the ground.","Water vapor : tiny ice crystals
Clouds : clouds
Rain : snowflakes"
214,How do animals help plants disburse seeds?,"Animals pull a fruit off a plant or pick a fruit up from the ground.
Animals eat the fruit.
Animals drop some seeds onto the ground.
Animals eat some seeds.
The seeds are in the animal's waste.
The waste goes onto the ground.
There are seeds on the ground in different areas away from the plant.",How do birds help insects disburse eggs?,"Birds pick up insects from the ground or catch them in mid-air.
Birds eat the insects.
Birds drop some of the insect's eggs onto the ground.
Birds eat some of the eggs.
The eggs are in the bird's waste.
The waste goes onto the ground.
There are eggs on the ground in different areas away from the insect.","Fruit : insects
Seeds : eggs"
214,How do animals help plants disburse seeds?,"Animals pull a fruit off a plant or pick a fruit up from the ground.
Animals eat the fruit.
Animals drop some seeds onto the ground.
Animals eat some seeds.
The seeds are in the animal's waste.
The waste goes onto the ground.
There are seeds on the ground in different areas away from the plant.",How do birds help insects disburse eggs?,"Birds fly through the sky and pick up insects from the air or from the ground.
Birds eat the insects.
Birds drop some insect eggs onto the ground.
Birds eat some insect eggs.
The eggs are in the bird's waste.
The waste goes onto the ground.
There are insect eggs on the ground in different areas away from the original insect.","Fruit : insects
Seeds : insect eggs"
214,How do animals help plants disburse seeds?,"Animals pull a fruit off a plant or pick a fruit up from the ground.
Animals eat the fruit.
Animals drop some seeds onto the ground.
Animals eat some seeds.
The seeds are in the animal's waste.
The waste goes onto the ground.
There are seeds on the ground in different areas away from the plant.",How do birds help plants disburse seeds?,"Birds take twigs from trees.
Birds use the twigs to construct nests.
The birds lay eggs in the nest.
The birds feed the chicks in the nest.
The birds drop leftover food from the nest.
The leftover food contains seeds that were in the food.
The seeds are spread in different areas away from the tree.","Fruit : twigs
Seeds : leftover food
Animal's waste : nests"
221,How are clouds formed?,"Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud.",How is haze formed?,"A rock is heated by the sun.
The heat causes the rock to expand and the molecules to move faster.
The molecules collide with each other and become electrically charged.
The electrically charged molecules attract other molecules and form tiny particles.
Millions of these particles form a visible haze in the sky.","warm air : rock
vapor : molecules
tiny droplets : tiny particles
cloud : haze"
221,How are clouds formed?,"Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud.",How are volcanic clouds formed?,"A volcano erupts, sending ash and rock particles high into the atmosphere.
The particles are able to travel up to the stratosphere.
The particles act as a nucleus for condensation of water vapor to occur.
The vapor condenses on the particles to form droplets of liquid.
These droplets come together to form clouds of volcanic ash.","Warm air : Volcano
Vapor : Water Vapor
Dust particles : Ash and Rock Particles
Droplet : Droplets of Liquid"
221,How are clouds formed?,"Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud.",How are fogs formed?,"The ocean is heated by the sun.
This warm water evaporates, turning into a vapor.
The vapor rises, cools and condenses into tiny droplets of water around tiny particles of salt.
As more and more droplets form, they come together and form clouds of fog.","
warm air : warm water
vapor : evaporates
dust particles : salt particles
droplets : droplets of water
clouds : clouds of fog"
222,How are clouds formed?,"Air rises.
Rising air cools.
Water vapor forms.
Water vapor condenses.
Clouds form.",How do volcanic clouds form?,"A volcano erupts.
The ash, gas, and lava are propelled into the air.
The air around the volcano is heated.
The hot air rises, carrying the ash and other particles.
As the particles rise, they cool and form clouds.","Air : air around the volcano
Rising air : hot air
Water vapor : ash and other particles
Clouds : clouds"
222,How are clouds formed?,"Air rises.
Rising air cools.
Water vapor forms.
Water vapor condenses.
Clouds form.",How are wind created?,"The surface of the Earth heats up.
This heated air rises into the atmosphere.
The rising air cools and creates a vacuum.
This vacuum pulls in air from the surrounding areas.
The incoming air contains moisture.
When the air cools, the moisture condenses and forms clouds.","Air rises : surface of the Earth heats up
Rising air cools : air rises into the atmosphere
Water vapor : moisture
Clouds : clouds"
222,How are clouds formed?,"Air rises.
Rising air cools.
Water vapor forms.
Water vapor condenses.
Clouds form.",How do clouds form in the sky?,"Water evaporates from the ocean.
The evaporated water vapor rises.
The rising water vapor cools, causing it to condense.
The condensation forms clouds in the sky.","
Air : water vapor
Rising air : evaporated water vapor
Water vapor : rising water vapor
Condenses : condensation
Clouds : clouds in the sky"
225,How does a battery-operated sewing machine work?,"Electricity from the battery makes the machine needle move.
A needle with thread goes down from the machine.
Goes through a piece of cloth.
A hook rotates underneath.
The hook captures the thread.
The hook loops the thread around another thread.
Two threads interlock around the fabric.",How does a battery-operated drill work? ,"An electric current from a battery powers a small motor.
The motor rotates a drill bit.
The drill bit is inserted into a piece of wood.
The drill bit rotates, and the wood is cut.
The drill bit is removed from the wood.
The wood is now cut in the desired shape.","Needle : drill bit
Thread : electric current
Hook : small motor
Fabric : wood"
225,How does a battery-operated sewing machine work?,"Electricity from the battery makes the machine needle move.
A needle with thread goes down from the machine.
Goes through a piece of cloth.
A hook rotates underneath.
The hook captures the thread.
The hook loops the thread around another thread.
Two threads interlock around the fabric.",How does a battery-operated drill work?,"A motor powered by electricity turns an axle connected to a wheel.
A belt linked to the wheel is connected to a pulley.
The pulley is connected to a spindle.
The spindle is connected to a tool such as a drill bit.
The drill bit is pressed against a material.
The drill bit spins and cuts into the material.
The motor can be adjusted to change the speed of the drill bit.","machine needle : axle
thread : belt
hook : pulley
fabric : material"
225,How does a battery-operated sewing machine work?,"Electricity from the battery makes the machine needle move.
A needle with thread goes down from the machine.
Goes through a piece of cloth.
A hook rotates underneath.
The hook captures the thread.
The hook loops the thread around another thread.
Two threads interlock around the fabric.",How does an electric blender work?,"An electric motor powers the blades of the blender.
The blades rotate at high speed.
The blender is placed over a container of food.
The motor spins the blades, chopping and blending the food.
The container is sealed to create a vacuum effect.
The blades of the blender create a cyclone-like motion, blending the food more quickly.
The blender is turned off when the desired consistency is reached.","Electricity from battery : electric motor
Needle : blades
Thread : food
Hook : container
Loop : vacuum effect"
229,How do dams help stop flooding?,"A dam is built in an area prone to flooding.
A large amount of rain occurs.
The water builds up behind the dam.
The dam opens its floodgates when it starts to get full.
The water flows into a river below the dam.
The dam closes its gates.
The dam will occasionally open its gates again to gradually release more water.
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.",How do levees help stop flooding?,"A levee is constructed in an area prone to flooding.
A large amount of rain occurs.
The water builds up around the levee.
The levee is designed with floodgates that can be opened when it starts to get full.
The water flows away from populated areas towards a river or lake.
The floodgates close when the water level drops.
The levee will occasionally open its gates again to gradually release more water.
Eventually all of the floodwater will be slowly released without causing any flood damage.","Dam : levee
Floodgates : floodgates"
229,How do dams help stop flooding?,"A dam is built in an area prone to flooding.
A large amount of rain occurs.
The water builds up behind the dam.
The dam opens its floodgates when it starts to get full.
The water flows into a river below the dam.
The dam closes its gates.
The dam will occasionally open its gates again to gradually release more water.
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.",How do emergency levees help stop flooding?,"An emergency levee is built in an area prone to flooding.
A large amount of rain occurs.
The levee is built up with sandbags and other barriers.
The levee can be opened to release some of the water when it starts to get full.
The released water flows into a river below the levee.
The levee can be closed again.
The levee will be occasionally opened again to gradually release more water.
Eventually, all of the floodwater will be slowly released into the river without causing any flood damage.","Dam : Emergency levee
Floodgates : Sandbags and other barriers"
229,How do dams help stop flooding?,"A dam is built in an area prone to flooding.
A large amount of rain occurs.
The water builds up behind the dam.
The dam opens its floodgates when it starts to get full.
The water flows into a river below the dam.
The dam closes its gates.
The dam will occasionally open its gates again to gradually release more water.
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.",How do dikes help stop flooding?,"A dike is built in an area prone to flooding.
Large amounts of rain occur.
The water builds up behind the dike.
The dike has a set of gates that can be opened or closed.
The gates can be opened when the water level behind the dike gets too high.
The water flows into the river or sea below the dike.
The gates are closed to stop more water from entering.
The gates will sometimes be opened again to gradually release more water.
Eventually all the floodwater will be released without causing any damage.","Dam : Dike
Gates : Gates"
232,How does echolocation work?,"Bats and other animals produce a high-pitched tone.
The sound travels in waves, as sound does.
The sound ""bounces"" off of a nearby object.
The sound wave returns to the bat.
The bat hears the echoed sound.
Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.
Other animals use echolocation in generally similar ways.",How does reflection work?,"Light is emitted from a source, such as a flashlight.
The light travels in waves, as light does.
The light ""bounces"" off of a nearby object.
The light wave returns to the source.
The source sees the reflected light.
The properties of the returned light waves enable it to determine the size, shape, and position of the other object.
Other sources use reflection in generally similar ways.","Bats and other animals : Light source (flashlight)
High-pitched tone : Light
Echolocation : Reflection"
232,How does echolocation work?,"Bats and other animals produce a high-pitched tone.
The sound travels in waves, as sound does.
The sound ""bounces"" off of a nearby object.
The sound wave returns to the bat.
The bat hears the echoed sound.
Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.
Other animals use echolocation in generally similar ways.",How does radar work?,"Radar systems send out radio waves.
The radio waves travel in a straight line, as radio waves do.
The radio waves ""bounce"" off of a nearby object.
The radio wave returns to the radar system.
The radar system detects the echoed radio wave.
Properties of the returned radio waves enable it to determine the size, shape, and position of the other object
Radar is used in many areas, including aviation, military, and navigation.","Bats : radar system
high-pitched tone : radio waves
echoes sound : echoed radio wave
echolocation : radar"
232,How does echolocation work?,"Bats and other animals produce a high-pitched tone.
The sound travels in waves, as sound does.
The sound ""bounces"" off of a nearby object.
The sound wave returns to the bat.
The bat hears the echoed sound.
Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.
Other animals use echolocation in generally similar ways.",How does sonar work?,"A submarine emits a pulse of sonar.
The sound waves travel through the water until they hit an object.
The sound waves then bounce back to the submarine.
The returning sound waves can be interpreted by the submarine's sonar system, allowing the submarine to determine the size, shape, and position of the object by the properties of the returning sound waves.
Other underwater vessels use sonar in generally similar ways.","bats : submarines
echolocation : sonar
high-pitched tones : pulses of sonar
object : underwater vessels"
